News Channel,Compound,Negative,Neutral,Positive,Tweet Ago,Tweet Date,Tweet Text
BBC,0.7227,0.0,0.79,0.21,1,10/05/2018,"Franklin and his gang are now the main dealers in the area but success brings new problems...

#Snowfall | 10:50pm… https://t.co/ZBmiDiGpWy"
BBC,-0.1027,0.202,0.649,0.149,2,10/05/2018,"A poetic account of the Troubles in Northern Ireland, told through the stories of people who lost loved ones during… https://t.co/ZMdNqwA6QJ"
BBC,0.4404,0.129,0.612,0.259,3,10/05/2018,Most polite stag do ever 😂 https://t.co/Vdz6abFUA5
BBC,0.0,0.0,1.0,0.0,4,10/05/2018,A horse walks into a bar... https://t.co/0e9rcMyq26
BBC,0.4939,0.0,0.819,0.181,5,10/05/2018,"Hundreds of sculptures lie at the bottom of the sea in Cancun, where they play an important role in conservation. https://t.co/elKcb1ArXb"
BBC,-0.5574,0.265,0.735,0.0,6,10/05/2018,RT @BBCNewsEnts: Opera singer Montserrat Caballé has died at 85 https://t.co/XjCDKCe3Wo
BBC,0.0,0.0,1.0,0.0,7,10/05/2018,"These caves in rural Italy have been transformed into hotel rooms. 😍🇮🇹

#Mediterranean with @Simon_Reeve starts on… https://t.co/odrZvluN8x"
BBC,-0.4189,0.2,0.709,0.091,8,10/05/2018,"Please can everyone stop drinking their own urine?
It’s really not very good for you.
👉 https://t.co/gJwPTW9aiI https://t.co/E8aW02uYqp"
BBC,0.0,0.0,1.0,0.0,9,10/05/2018,"Going, going, gone!

A Banksy artwork shredded itself after it was sold for more than £1m at Sotheby's in London.… https://t.co/Qm7OwhiXT5"
BBC,-0.4939,0.211,0.789,0.0,10,10/05/2018,❤️ George Shelley opens up about grief and how to cope. https://t.co/4SajjiJI6e
BBC,-0.4588,0.231,0.769,0.0,11,10/05/2018,Footage shows hundreds of tents abandoned by people after #LeedsFestival… https://t.co/VPTNlAVId4
BBC,0.5095,0.098,0.679,0.222,12,10/05/2018,"🎓 Losing friends, moving home and being broke... what's life after university really like?
👉 https://t.co/5sabryzvbw https://t.co/9x23y45XtO"
BBC,-0.128,0.154,0.711,0.134,13,10/05/2018,"✉️ @StephenFry reads the letters of Otto von Wächter, a senior Austrian Nazi who escaped justice after the war.

Li… https://t.co/eadlYB4D0K"
BBC,-0.4767,0.205,0.795,0.0,14,10/05/2018,"How a bike accident transformed the lives of thousands of disabled people. 
#BBCInnovators https://t.co/NKOauhKD7M"
BBC,0.7506,0.0,0.748,0.252,15,10/05/2018,"✍️ Inspired by the book he famously illustrated 30 years ago, Sir Quentin Blake imagines what Roald Dahl's Matilda… https://t.co/DzXk7J6M2p"
BBC,0.2732,0.066,0.823,0.111,16,10/05/2018,"RT @BBCTheOneShow: 1.5 million people may have been affected by the tsunami in Sulawesi. 
Here’s how you can help the @decappeal https://t.…"
BBC,0.7003,0.0,0.655,0.345,17,10/05/2018,"☕️💛 This Amazing Human uses coffee to give homeless people a second chance.

https://t.co/wOc1ce2B3J"
BBC,-0.8074,0.356,0.644,0.0,18,10/05/2018,"Follow some of the debt counsellors working for Christians Against Poverty.

The Debt Saviours | 9pm | @BBCTwo |… https://t.co/t0c5uwl4jk"
BBC,0.0,0.0,1.0,0.0,19,10/05/2018,💪🐔 Check out these miniature chicken bodybuilders. https://t.co/rfRrfZMVkM
BBC,0.0,0.0,1.0,0.0,20,10/05/2018,John Humphrys presents the first heat of the series as the hunt for the nation's Mastermind gets back underway.… https://t.co/hQdf779Yeo
BBC,0.4404,0.084,0.749,0.167,21,10/05/2018,FACT: Britons can only let go emotionally when a barmaid breaks some glasses... 😂 #TheMashReport https://t.co/Hk2tqQv8WR
BBC,0.3612,0.0,0.902,0.098,22,10/05/2018,"RT @1Xtra: .@RayBLK_'s #LiveLounge cover of 'A Natural Woman' for #BackHistoryMonth was just incredible.  

Full video 👉🏿 https://t.co/6TNL…"
BBC,0.8625,0.065,0.578,0.357,23,10/05/2018,"RT @BBCWales: 😂 Best global marketing campaign ever? 

🆕 #FestivalofFunny comedy: #TouristTrap 
⭐️ @MikeBubbins, @MariBarf, @SallyEPhillips…"
BBC,0.6124,0.0,0.828,0.172,24,10/05/2018,"RT @BBCWales: The new tourism head honcho for Wales gets hands on as she learns all about making love...spoons. 😆

🆕 Comedy: #TouristTrap…"
BBC,0.0,0.0,1.0,0.0,25,10/05/2018,"RT @BBCWales: 😮WE JUST DROPPED ALL OF #TOURISTTRAP ON @BBCIPLAYER. 

✨WATCH EVERY EPISODE HERE 👉 https://t.co/kOmZRWZt8D

👍HAPPY FRIDAY! #F…"
BBC,-0.1027,0.072,0.928,0.0,26,10/05/2018,"'I hid my baby from social services in case they took it away.'
👉 https://t.co/GzIQQwypFT https://t.co/2m4sqlGogP"
BBC,0.1779,0.126,0.673,0.202,27,10/05/2018,"Raoul the turtle had a lucky escape after getting tangled in plastic waste. 🐢

#Mediterranean with @simon_reeve sta… https://t.co/naQPqpDwpy"
BBC,-0.2732,0.116,0.884,0.0,28,10/05/2018,"🐬 This woman taught a dolphin to speak English. 

🔈 Sound up for this one…  https://t.co/wck12UVoRr"
BBC,0.8555,0.0,0.669,0.331,29,10/05/2018,"Why does everybody love moth memes?

It's the one-sided love story that we can all relate to...
👉… https://t.co/55Oz8ULaX3"
BBC,0.743,0.0,0.674,0.326,30,10/05/2018,"RT @BBCTwo: We literally can't get enough of @donaldglover's amazing smile. 😁😁 #Atlanta #WorldSmileDay
https://t.co/ovzKcY0pKg"
